31.01.2015 - 15:19:35	  [ LOG ] 	Using log file /home/rkerkhof/Documents/Projects/WildPHP-New/logs//log10.log
31.01.2015 - 15:19:36	  [ CONNECT ] 	Connection to server irc.freenode.org:6667 set up with nick phpbot; ready to use.
31.01.2015 - 15:19:36	  [ DATA ] 	:card.freenode.net NOTICE * :*** Looking up your hostname...
31.01.2015 - 15:19:36	  [ DATA ] 	:card.freenode.net NOTICE * :*** Checking Ident
31.01.2015 - 15:19:36	  [ DATA ] 	:card.freenode.net NOTICE * :*** Found your hostname
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net NOTICE * :*** No Ident response
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 001 phpbot :Welcome to the freenode Internet Relay Chat Network phpbot
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 002 phpbot :Your host is card.freenode.net[38.229.70.22/6667], running version ircd-seven-1.1.3
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 003 phpbot :This server was created Thu Sep 18 2014 at 18:48:25 UTC
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 004 phpbot card.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 005 phpbot CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 005 phpbot CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 005 phpbot EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
31.01.2015 - 15:19:47	  [ DATA ] 	:card.freenode.net 251 phpbot :There are 177 users and 86524 invisible on 27 servers
