10.07.2015 - 01:22:14	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log116.log10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event Loop (with class IEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module GitHub registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module Auth loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module ChannelManager loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module CoreCommands loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module Dev loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module GitHub...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module GitHub loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module Help loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...10.07.2015 - 01:22:14	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 350 seconds.10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Module Watchdog loaded.10.07.2015 - 01:22:14	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net NOTICE * :*** Looking up your hostname...
10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net NOTICE * :*** Checking Ident
10.07.2015 - 01:22:14	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net NOTICE * :*** Found your hostname
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net NOTICE * :*** No Ident response
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 001 FatalException :Welcome to the freenode Internet Relay Chat Network FatalException
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 002 FatalException :Your host is wilhelm.freenode.net[148.251.187.147/6667], running version ircd-seven-1.1.3
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 003 FatalException :This server was created Sun Mar 15 2015 at 18:30:04 UTC
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 004 FatalException wilhelm.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 005 FatalException CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 005 FatalException CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 005 FatalException EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 251 FatalException :There are 166 users and 86540 invisible on 27 servers
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 252 FatalException 19 :IRC Operators online
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 253 FatalException 5 :unknown connection(s)
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 254 FatalException 60019 :channels formed
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 255 FatalException :I have 2713 clients and 1 servers
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 265 FatalException 2713 3134 :Current local users 2713, max 3134
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 266 FatalException 86706 94714 :Current global users 86706, max 94714
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 250 FatalException :Highest connection count: 3135 (3134 clients) (47371 connections received)
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 375 FatalException :- wilhelm.freenode.net Message of the Day - 
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- Welcome to wilhelm.freenode.net in Germany, EU. 
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- Thanks to http://digitaltreemedia.co.uk/ for sponsoring
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- this server!
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- Welcome to freenode - supporting the free and open source
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- software communities since 1998.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- By connecting to freenode you indicate that you have read and
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- accept our policies as set out on http://www.freenode.net
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- freenode runs an open proxy scanner. Please join #freenode for
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- any network-related questions or queries, where a number of
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- volunteer staff and helpful users will be happy to assist10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< you.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- You can meet us at FOSSCON (http://www.fosscon.org) where we get
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- together with like-minded FOSS enthusiasts for talks and
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- real-life collaboration.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- We would like to thank Private Internet Access
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- (https://www.privateinternetaccess.com/) and the other
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- organisations that help keep freenode and our other projects
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- running for their sustained support.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- In particular we would like to thank the sponsor
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- of this server, details of which can be found above.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 376 FatalException :End of /MOTD command.
10.07.2015 - 01:22:23	  [ DATAOUT ] 	JOIN #NanoPlayground10.07.2015 - 01:22:23	  [ DATAOUT ] 	JOIN #smf10.07.2015 - 01:22:23	  [ DATAOUT ] 	JOIN #wildphp10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException MODE FatalException :+i
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :You are now identified for FatalException.
10.07.2015 - 01:22:23	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 396 FatalException unaffiliated/yoshi2889/bot/fatalexception :is now your hidden host (set by services.)
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #NanoPlayground
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 332 FatalException #NanoPlayground :Test place for bots.
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 333 FatalException #NanoPlayground FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception 1425410979
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 353 FatalException = #NanoPlayground :FatalException zz_DenBeiren Stiflerrpg Stifler NanoSector SPF|Cloud @ChanServ TimTims sigv
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 366 FatalException #NanoPlayground :End of /NAMES list.
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #smf
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 332 FatalException #smf :Simple Machines Forum (SMF) official IRC channel! || SMF 2.1 Beta 1 Released! http://bit.ly/1xItRQl || SMF 2.0.10 and 1.1.21 Released! Please upgrade: http://bit.ly/1GvRVJW || Visit us at http://www.simplemachines.org/ || Online manual: http://bit.ly/I2PEnF || Looking for support? http://bit.ly/1aoqWwZ
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 333 FatalException #smf CoreISP!~coreisp@simplemachines/rootadmin/CoreISP 1432406302
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 353 FatalException = #smf :FatalException +Antes CoreISP luuuciano ^esc NanoSector Roph KnownSyntax tvenhola Mega9 cali Metacity Kissaki Stu| @ChanServ t eichiro Nicofuma callumacrae SleePy RTamas stefan StupidWeasel Niko^ Elsensee Rymax99 anonymouse realz paulr spossiba
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 366 FatalException #smf :End of /NAMES list.
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #wildphp
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 33210.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< FatalException #wildphp :Welcome to #wildphp. Feel free to idle around. For help, just poke one of us and please stay around; someone will get to you. Get the latest version of the bot from https://github.com/WildPHP/Wild-IRC-Bot
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 333 FatalException #wildphp NanoSector!~Yoshi2889@simplemachines/support/NanoSector 1428415030
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 353 FatalException = #wildphp :FatalException +amunak Stifler @NanoSector +SPF|Cloud Madgod @ChanServ GuntherD1 @TimTims rbxs
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 366 FatalException #wildphp :End of /NAMES list.
10.07.2015 - 01:22:29	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #NanoPlayground +o FatalException
