10.07.2015 - 21:56:46	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log121.log10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event Loop (with class IEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module GitHub registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module Hooks registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module STFU registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module Auth loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module ChannelManager loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module CoreCommands loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module Dev loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module GitHub...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module GitHub loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module Help loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module Hooks...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module Hooks loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module STFU...10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module STFU loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...10.07.2015 - 21:56:46	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 350 seconds.10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Module Watchdog loaded.10.07.2015 - 21:56:46	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Looking up your hostname...
10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Checking Ident
10.07.2015 - 21:56:46	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Found your hostname
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** No Ident response
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 001 FatalException :Welcome to the freenode Internet Relay Chat Network FatalException
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 002 FatalException :Your host is card.freenode.net[38.229.70.22/6667], running version ircd-seven-1.1.3
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 003 FatalException :This server was created Thu Sep 18 2014 at 18:48:25 UTC
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 004 FatalException card.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 251 FatalException :There are 169 users and 91517 invisible on 27 servers
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 252 FatalException 21 :IRC Operators online
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 253 FatalException 10 :unknown connection(s)
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 254 FatalException 60592 :channels formed
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 255 FatalException :I have 5522 clients and 3 servers
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 265 FatalException 5522 8011 :Current local users 5522, max 8011
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 266 FatalException 91686 101901 :Current global users 91686, max 101901
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 250 FatalException :Highest connection count: 8015 (8011 clients) (4313739 connections received)
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 375 FatalException :- card.freenode.net Message of the Day - 
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- Welcome to card.freenode.net in Washington, DC, US, kindly sponsored by
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- Team Cymru (http://www.team-cymru.org).
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- CARD, ORSON SCOTT [1951-].  Born in Richland, Washington, Card grew up in
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- California, Arizona, and Utah.  He lived in Brazil for two years as an
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- unpaid missionary for the Mormon Church.  Author of the Ender and Alvin
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- Maker books, Card's science fiction and fantasy work is strongly influenced
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- by his Mormon cultural background.  The first author to win the Hugo and
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- Nebula novel awards two years in a row, Card currently lives in Greensboro,
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- North Carolina, US.
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- Welcome to freenode - supporting the free and open source
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- software communities since 1998.
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- By connecting to freenode you indicate that you have read and
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- accept our policies as set out on http://www.freenode.net
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- freenode runs an open proxy scanner. Please join #freenode for
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- any network-related questions or queries, where a number of
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- volunteer staff and helpful users will be happy to assist you.
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- You can meet us at FOSSCON (http://www.fosscon.org) where we get
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- together with like-minded FOSS enthusiasts for talks and
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- real-life collaboration.
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- We would like to thank Private Internet Access
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- (https://www.privateinternetaccess.com/) and the other
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- organisations that help keep freenode and our other projects
10.07.2015 - 21:56:53	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- running fo10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< r their sustained support.
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- In particular we would like to thank the sponsor
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :- of this server, details of which can be found above.
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 372 FatalException :-  
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 376 FatalException :End of /MOTD command.
10.07.2015 - 21:56:54	  [ DATAOUT ] 	JOIN #NanoPlayground10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException MODE FatalException :+i
10.07.2015 - 21:56:54	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
