03.07.2015 - 13:51:05	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log66.log03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module Auth loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module ChannelManager loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module CoreCommands loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module Dev loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module Help loaded.03.07.2015 - 13:51:05	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...03.07.2015 - 13:51:05	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 256 seconds.03.07.2015 - 13:51:05	  [ WildPHP\Manager ] 	Module Watchdog loaded.03.07.2015 - 13:51:06	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.03.07.2015 - 13:51:06	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net NOTICE * :*** Looking up your hostname...
03.07.2015 - 13:51:06	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net NOTICE * :*** Checking Ident
03.07.2015 - 13:51:06	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net NOTICE * :*** Found your hostname
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net NOTICE * :*** No Ident response
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 001 FatalException :Welcome to the freenode Internet Relay Chat Network FatalException
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 002 FatalException :Your host is morgan.freenode.net[64.32.24.176/6667], running version ircd-seven-1.1.3
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 003 FatalException :This server was created Sun Mar 15 2015 at 18:30:28 UTC
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 004 FatalException morgan.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 005 FatalException CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 005 FatalException CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 005 FatalException EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 251 FatalException :There are 154 users and 88457 invisible on 27 servers
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 252 FatalException 18 :IRC Operators online
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 253 FatalException 23 :unknown connection(s)
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 254 FatalException 60111 :channels formed
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 255 FatalException :I have 8355 clients and 1 servers
03.07.2015 - 13:51:12	  [ WildPHP\Manager-DEBUG ] 	<< :morgan.freenode.net 265 FatalException 8355 8601 :Current local users 8355, max 8601
