03.07.2015 - 14:04:37	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log68.log03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module GitHub registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module Auth loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module ChannelManager loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module CoreCommands loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module Dev loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module GitHub...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module GitHub loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module Help loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...03.07.2015 - 14:04:37	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 256 seconds.03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Module Watchdog loaded.03.07.2015 - 14:04:37	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Looking up your hostname...
03.07.2015 - 14:04:37	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Checking Ident
03.07.2015 - 14:04:38	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** Found your hostname
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net NOTICE * :*** No Ident response
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 001 FatalException :Welcome to the freenode Internet Relay Chat Network FatalException
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 002 FatalException :Your host is card.freenode.net[38.229.70.22/6667], running version ircd-seven-1.1.3
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 003 FatalException :This server was created Thu Sep 18 2014 at 18:48:25 UTC
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 004 FatalException card.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 005 FatalException EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 251 FatalException :There are 154 users and 88509 invisible on 27 servers
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 252 FatalException 17 :IRC Operators online
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 253 FatalException 10 :unknown connection(s)
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 254 FatalException 60071 :channels formed
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 255 FatalException :I have 5325 clients and 3 servers
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 265 FatalException 5325 8011 :Current local users 5325, max 8011
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 266 FatalException 88663 101901 :Current global users 88663, max 101901
03.07.2015 - 14:04:47	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 250 FatalException :Highest connection count: 8015 (8011 clients) (4217297 connections received)
