07.07.2015 - 14:27:16	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log74.log07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module GitHub registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module Auth loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module ChannelManager loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module CoreCommands loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module Dev loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module GitHub...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module GitHub loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module Help loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...07.07.2015 - 14:27:16	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 256 seconds.07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Module Watchdog loaded.07.07.2015 - 14:27:16	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.07.07.2015 - 14:27:17	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net NOTICE * :*** Looking up your hostname...
07.07.2015 - 14:27:17	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net NOTICE * :*** Checking Ident
07.07.2015 - 14:27:17	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net NOTICE * :*** Found your hostname
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net NOTICE * :*** No Ident response
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 001 FatalException :Welcome to the freenode Internet Relay Chat Network FatalException
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 002 FatalException :Your host is weber.freenode.net[162.213.39.42/6667], running version ircd-seven-1.1.3
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 003 FatalException :This server was created Sun Mar 15 2015 at 18:31:36 UTC
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 004 FatalException weber.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 005 FatalException CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 005 FatalException CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 005 FatalException EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 251 FatalException :There are 164 users and 90977 invisible on 27 servers
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 252 FatalException 21 :IRC Operators online
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 253 FatalException 12 :unknown connection(s)
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 254 FatalException 60449 :channels formed
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 255 FatalException :I have 3903 clients and 1 servers
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 265 FatalException 3903 5091 :Current local users 3903, max 5091
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 266 FatalException 91141 100453 :Current global users 91141, max 100453
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 250 FatalException :Highest connection count: 5092 (5091 clients) (560147 connections received)
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 375 FatalException :- weber.freenode.net Message of the Day - 
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- Welcome to weber.freenode.net in California, USA.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- Thanks to https://www.cloudsigma.com/ for sponsoring
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- this server!
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- WEBER, DAVID M. (1952-), an American fantasy and scifi
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- author. Best known for his 'Honor Harrington' series, his
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- works span several genres, including alternate history,
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- epic fantasy, military scifi and space opera. He's also
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- done wargame design mainly for the StarFire tabletop
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- boardgame series, a job which later evolved into the novel,
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- 'Insurrection' (collaboration with Steve White, published
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- in 1990).
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- Welcome to freenode - supporting the free and open source
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- software communities since 1998.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- By connecting to freenode you indicate that you have read and
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- accept our policies as set out on http://www.freenode.net
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- freenode runs an open proxy scanner. Please join #freenode for
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- any network-related questions or queries, where a number of
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- volunteer staff and helpful users will be happy to assist you.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- You can meet us at FOSSCON (http://www.fosscon.org) where we get
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- together with like-minded FOSS enthusiasts for talks and
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- real-life collaboration.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- We would like to thank Private Internet Access
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- (https://www.privateinternetaccess.com/) and the other
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- organisations that help keep freenode and our other projects
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :- running for their sus07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< tained support.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 372 FatalException :-  
